ens_gene,ext_gene,target_id,b,se_b,qval,genotype,sorter,code
WBGene00000903,daf-7,B0412.2,0.649595402,0.142636145,1.78E-04,daf-16;daf-18,7,f
WBGene00000912,daf-16,R13H8.1,0.596843426,0.164907618,0.005724147,daf-16;daf-18,7,f
WBGene00000913,daf-18,T07A9.6,-0.977906581,0.164920977,2.66E-07,daf-16;daf-18,7,f
WBGene00000917,daf-25,Y48G1A.3,0.464569952,0.184236778,0.095053815,daf-16;daf-18,7,f
WBGene00000920,daf-28,Y116F11B.1,1.092878493,0.202977808,4.27E-06,daf-16;daf-18,7,f
WBGene00000928,dao-2,M03A1.7,4.474778228,1.064140397,7.33E-04,daf-16;daf-18,7,f
WBGene00000932,dao-6,T05G5.12,-2.383994493,0.631692425,0.00343546,daf-16;daf-18,7,f
WBGene00000935,daz-1,F56D1.7,0.853898413,0.327907641,0.080245627,daf-16;daf-18,7,f
WBGene00000958,dgk-1,C09E10.2,-0.39283463,0.156398934,0.096764999,daf-16;daf-18,7,f
WBGene00000963,dhp-1,R06C7.3,0.436131267,0.166752085,0.078716275,daf-16;daf-18,7,f
WBGene00000966,dhs-2,F55A12.4,-1.872833587,0.34172642,2.67E-06,daf-16;daf-18,7,f
WBGene00000967,dhs-3,T02E1.5,-0.763254355,0.203823263,0.003769452,daf-16;daf-18,7,f
WBGene00000971,dhs-7,E04F6.7,-1.421579386,0.250881078,1.07E-06,daf-16;daf-18,7,f
WBGene00000973,dhs-9,Y32H12A.3,-1.472918982,0.254604626,5.72E-07,daf-16;daf-18,7,f
WBGene00000975,dhs-12,K08F4.9,-1.329859025,0.185523186,1.41E-10,daf-16;daf-18,7,f
WBGene00000977,dhs-14,R05D8.8,-1.423703729,0.167258831,4.94E-15,daf-16;daf-18,7,f
WBGene00000978,dhs-15,R05D8.10,-1.054438566,0.201359692,8.62E-06,daf-16;daf-18,7,f
WBGene00000979,dhs-16,C10F3.2,1.570443824,0.520241606,0.031107487,daf-16;daf-18,7,f
WBGene00000982,dhs-19,T11F9.11,-0.696049637,0.224117205,0.025134216,daf-16;daf-18,7,f
WBGene00000983,dhs-20,F35B12.2,-2.159679776,0.597674277,0.005806715,daf-16;daf-18,7,f
WBGene00000990,dhs-27,C04F6.5,1.053770762,0.331237278,0.020584898,daf-16;daf-18,7,f
WBGene00000993,dhs-30,T25G12.7,-1.461849348,0.216895301,2.24E-09,daf-16;daf-18,7,f
WBGene00000998,dig-1,K07E12.1,-0.923474648,0.154896044,2.26E-07,daf-16;daf-18,7,f
WBGene00001029,dnj-11,F38A5.13,0.575937287,0.21116279,0.061828578,daf-16;daf-18,7,f
WBGene00001045,dnj-27,Y47H9C.5,0.843666608,0.220683935,0.002925835,daf-16;daf-18,7,f
WBGene00001049,dog-1,F33H2.1,0.637430614,0.202492386,0.022625814,daf-16;daf-18,7,f
WBGene00001064,dpy-2,T14B4.6,4.107020408,1.163505062,0.007606033,daf-16;daf-18,7,f
WBGene00001065,dpy-3,EGAP7.1,3.133127836,1.23403965,0.092029393,daf-16;daf-18,7,f
WBGene00001069,dpy-7,F46C8.6,3.528154417,1.131427878,0.024353703,daf-16;daf-18,7,f
WBGene00001071,dpy-9,T21D12.2,5.317288782,1.502649031,0.007386678,daf-16;daf-18,7,f
WBGene00001072,dpy-10,T14B4.7,3.932859239,1.227229954,0.019324466,daf-16;daf-18,7,f
WBGene00001074,dpy-13,F30B5.1,3.180710901,1.151167404,0.057124901,daf-16;daf-18,7,f
WBGene00001079,dpy-20,T22B3.1,2.733230987,0.537358026,1.76E-05,daf-16;daf-18,7,f
WBGene00001092,dro-1,F53A2.5,0.631321387,0.251323606,0.096753608,daf-16;daf-18,7,f
WBGene00001102,dsh-2,C27A2.6,0.682005051,0.210282711,0.017393327,daf-16;daf-18,7,f
WBGene00001109,dsl-7,F15B9.9,-0.667581737,0.234800526,0.047299568,daf-16;daf-18,7,f
WBGene00001113,dur-1,F25H8.5,-0.549900107,0.186017601,0.036286876,daf-16;daf-18,7,f
WBGene00001149,bcat-1,K02A4.1,0.592602231,0.180333771,0.015351441,daf-16;daf-18,7,f
WBGene00001155,ech-6,T05G5.6,-0.461220396,0.145975435,0.021970718,daf-16;daf-18,7,f
WBGene00001156,ech-7,Y105E8A.4,-0.706264539,0.275531836,0.087268177,daf-16;daf-18,7,f
WBGene00001157,ech-8,F01G10.2,-0.604692508,0.205535496,0.037621127,daf-16;daf-18,7,f
WBGene00001160,efk-1,F42A10.4,-0.47894135,0.142724679,0.012598177,daf-16;daf-18,7,f
WBGene00001166,eftu-2,ZK328.2,0.364702375,0.132448594,0.058364382,daf-16;daf-18,7,f
WBGene00001178,egl-9,F22E12.4,-0.367309008,0.133152195,0.057751645,daf-16;daf-18,7,f
WBGene00001184,egl-15,F58A3.2,0.409551528,0.157245844,0.080189193,daf-16;daf-18,7,f
WBGene00001210,egl-46,K11G9.4,1.38646832,0.258516846,4.72E-06,daf-16;daf-18,7,f
WBGene00001226,eif-3.C,T23D8.4,0.46558496,0.135872374,0.010256718,daf-16;daf-18,7,f
WBGene00001227,eif-3.D,R08D7.3,0.472953412,0.127398611,0.004191592,daf-16;daf-18,7,f
WBGene00001233,eif-3.K,T16G1.11,0.482067071,0.162728669,0.03573416,daf-16;daf-18,7,f
WBGene00001234,eif-6,C47B2.5,0.513461529,0.191104463,0.067771595,daf-16;daf-18,7,f
WBGene00001243,elo-5,F41H10.7,-0.940394272,0.305576831,0.027033258,daf-16;daf-18,7,f
WBGene00001244,elo-6,F41H10.8,-1.507125619,0.252851894,2.27E-07,daf-16;daf-18,7,f
WBGene00001262,emb-8,K10D2.6,-0.863551813,0.187735959,1.49E-04,daf-16;daf-18,7,f
WBGene00001303,sec-61.G,F32D8.6,0.585773003,0.163971974,0.006630801,daf-16;daf-18,7,f
WBGene00001336,qars-1,Y41E3.4,0.3070105,0.120474,0.090197769,daf-16;daf-18,7,f
WBGene00001365,exc-4,Y105E8A.22,0.365388152,0.140598373,0.081341788,daf-16;daf-18,7,f
WBGene00001372,exo-3,R09B3.1,1.084783846,0.315965631,0.01005129,daf-16;daf-18,7,f
WBGene00001385,far-1,F02A9.2,0.516439052,0.122561403,7.11E-04,daf-16;daf-18,7,f
WBGene00001386,far-2,F02A9.3,1.018081819,0.156918914,1.04E-08,daf-16;daf-18,7,f
WBGene00001390,far-6,W02A2.2,1.156690642,0.205885902,1.37E-06,daf-16;daf-18,7,f
WBGene00001394,fat-2,W02A2.1,0.470396249,0.159165027,0.036319289,daf-16;daf-18,7,f
WBGene00001395,fat-3,W08D2.4,0.416490541,0.154260048,0.066100181,daf-16;daf-18,7,f
WBGene00001397,fat-5,W06D12.3,-1.212616725,0.333746406,0.005494104,daf-16;daf-18,7,f
WBGene00001401,fbf-1,H12I13.4,0.97769897,0.323294232,0.030574207,daf-16;daf-18,7,f
WBGene00001402,fbf-2,F21H12.5,0.763577941,0.243253437,0.023148011,daf-16;daf-18,7,f
WBGene00001404,fbp-1,K07A3.1,-0.769947123,0.170473511,2.07E-04,daf-16;daf-18,7,f
WBGene00001423,fib-1,T01C3.7,0.723767967,0.217181704,0.013501331,daf-16;daf-18,7,f
WBGene00001430,fkb-5,C50F2.6,1.239979299,0.375594048,0.014664138,daf-16;daf-18,7,f
WBGene00001439,fkh-7,F26D12.1,-0.683111987,0.228630678,0.033515054,daf-16;daf-18,7,f
WBGene00001446,flp-3,W07E11.2,0.48170934,0.192287972,0.097808675,daf-16;daf-18,7,f
WBGene00001476,fmo-1,K08C7.2,-1.237187915,0.173973191,2.00E-10,daf-16;daf-18,7,f
WBGene00001479,fmo-4,F53F4.5,-0.86293866,0.179871861,6.23E-05,daf-16;daf-18,7,f
WBGene00001488,frm-1,ZK270.2,-0.623504569,0.187762124,0.013926135,daf-16;daf-18,7,f
WBGene00001491,frm-4,C24A11.8,-0.933920436,0.152485237,9.24E-08,daf-16;daf-18,7,f
WBGene00001492,frm-5.1,Y38C1AB.8,0.644237829,0.170721444,0.00343546,daf-16;daf-18,7,f
WBGene00001497,fars-1,T08B2.9,0.41386693,0.143935994,0.04416293,daf-16;daf-18,7,f
WBGene00001500,ftn-1,C54F6.14,-1.347110177,0.483780084,0.054562086,daf-16;daf-18,7,f
WBGene00001505,fut-1,K08F8.3,-0.377698864,0.147753984,0.088556091,daf-16;daf-18,7,f
WBGene00001511,fzy-1,ZK177.6,0.684241539,0.223134085,0.027861736,daf-16;daf-18,7,f
WBGene00001533,gcy-6,B0024.6,-0.9208936,0.363390686,0.092760082,daf-16;daf-18,7,f
WBGene00001535,gcy-8,C49H3.1,-0.576421332,0.228841349,0.095415563,daf-16;daf-18,7,f
WBGene00001536,gcy-9,ZK455.2,-0.713744954,0.237604776,0.032166131,daf-16;daf-18,7,f
WBGene00001538,gcy-12,F08B1.2,-0.416826428,0.158823797,0.077230732,daf-16;daf-18,7,f
WBGene00001542,gcy-17,W03F11.2,-1.329021178,0.363892171,0.005147211,daf-16;daf-18,7,f
WBGene00001548,gcy-23,T26C12.4,-0.56337755,0.214024647,0.076316974,daf-16;daf-18,7,f
WBGene00001578,ges-1,R12A1.4,-0.579546897,0.132247136,3.62E-04,daf-16;daf-18,7,f
WBGene00001595,gld-1,T23G11.3,1.015717753,0.257229032,0.001909467,daf-16;daf-18,7,f
WBGene00001649,gob-1,H13N06.3,-0.483837963,0.126059654,0.002784958,daf-16;daf-18,7,f
WBGene00001651,gon-2,T01H8.5,-0.399907192,0.153307231,0.079545215,daf-16;daf-18,7,f
WBGene00001671,gpa-9,F56H9.4,0.689608657,0.242335539,0.047081844,daf-16;daf-18,7,f
WBGene00001674,gpa-12,F18G5.3,-0.785839204,0.208522521,0.003494855,daf-16;daf-18,7,f
WBGene00001684,gpd-2,K10B3.8,-0.925335563,0.1345405,9.24E-10,daf-16;daf-18,7,f
WBGene00001685,gpd-3,K10B3.7,-0.871956433,0.136052496,1.65E-08,daf-16;daf-18,7,f
WBGene00001689,gpr-2,C38C10.4,0.788256262,0.250574226,0.022769091,daf-16;daf-18,7,f
WBGene00001690,grd-1,R08B4.1,2.198421995,0.627296604,0.008159017,daf-16;daf-18,7,f
WBGene00001692,grd-3,W05E7.1,-2.653912192,0.236760946,6.63E-26,daf-16;daf-18,7,f
WBGene00001694,grd-5,F41E6.2,-2.15392338,0.352642933,1.01E-07,daf-16;daf-18,7,f
WBGene00001699,grd-10,F09D12.1,-0.912839995,0.266661554,0.010342131,daf-16;daf-18,7,f
WBGene00001744,gars-1,T10F2.1,0.365878498,0.130304982,0.051638811,daf-16;daf-18,7,f
WBGene00001750,gst-2,K08F4.6,-1.280359783,0.253239701,2.03E-05,daf-16;daf-18,7,f
WBGene00001751,gst-3,K08F4.11,-1.300161216,0.187388247,6.16E-10,daf-16;daf-18,7,f
WBGene00001752,gst-4,K08F4.7,-1.256430489,0.202247397,5.62E-08,daf-16;daf-18,7,f
WBGene00001755,gst-7,F11G11.2,-1.156245214,0.273443136,6.74E-04,daf-16;daf-18,7,f
WBGene00001768,gst-20,Y48E1B.10,-0.965195181,0.242176687,0.001684505,daf-16;daf-18,7,f
WBGene00001770,gst-22,F21H7.1,0.568795235,0.224186002,0.092388021,daf-16;daf-18,7,f
WBGene00001771,gst-23,T28A11.11,-0.837553233,0.318563955,0.076721335,daf-16;daf-18,7,f
WBGene00001777,gst-29,Y53F4B.32,-1.491588292,0.464261289,0.018952852,daf-16;daf-18,7,f
WBGene00001782,gst-34,Y1H11.1,-1.914415279,0.386630831,3.19E-05,daf-16;daf-18,7,f
WBGene00001789,gst-41,R13D7.7,-1.931773109,0.222946992,1.59E-15,daf-16;daf-18,7,f
WBGene00001790,gst-42,D1053.1,-0.688783579,0.236422183,0.040510254,daf-16;daf-18,7,f
WBGene00001793,gsy-1,Y46G5A.31,-0.853425141,0.121457993,3.43E-10,daf-16;daf-18,7,f
WBGene00001829,hcp-1,ZK1055.1,0.719330017,0.211423666,0.010992963,daf-16;daf-18,7,f
WBGene00001831,hcp-3,F58A4.3,0.704586978,0.245485101,0.044588373,daf-16;daf-18,7,f
WBGene00001832,hcp-4,T03F1.9,0.725409027,0.186847319,0.002389035,daf-16;daf-18,7,f
WBGene00001833,hcp-6,Y110A7A.1,0.640368399,0.187634886,0.010653813,daf-16;daf-18,7,f
WBGene00001843,hgo-1,W06D4.1,-0.418857081,0.165332931,0.092849789,daf-16;daf-18,7,f
WBGene00001852,hil-1,C30G7.1,-2.115473138,0.194937926,2.17E-24,daf-16;daf-18,7,f
WBGene00001853,hil-2,Y73B6BL.9,1.444924313,0.206706233,4.35E-10,daf-16;daf-18,7,f
WBGene00001855,hil-4,C18G1.5,0.908659551,0.264678222,0.01005129,daf-16;daf-18,7,f
WBGene00001856,hil-5,B0414.3,0.787771606,0.262234953,0.032166131,daf-16;daf-18,7,f
WBGene00001858,hil-7,C01B10.5,0.663862549,0.176695973,0.0036264,daf-16;daf-18,7,f
WBGene00001906,his-32,F17E9.10,1.651102367,0.629538212,0.077434919,daf-16;daf-18,7,f
WBGene00001910,NA,C50F4.6,0.654977785,0.218093137,0.032214817,daf-16;daf-18,7,f
WBGene00001946,his-72,Y49E10.6,0.41227239,0.136916384,0.03167708,daf-16;daf-18,7,f
WBGene00001949,hlh-2,M05B5.5,0.568006785,0.184706342,0.027208566,daf-16;daf-18,7,f
WBGene00001957,hlh-13,F48D6.3,-1.78283005,0.501292603,0.007000532,daf-16;daf-18,7,f
WBGene00001973,hmg-3,C32F10.5,0.718023737,0.229991274,0.024177761,daf-16;daf-18,7,f
WBGene00001976,hmg-11,T05A7.4,0.482392285,0.168781569,0.045772588,daf-16;daf-18,7,f
WBGene00001977,hmg-12,Y17G7A.1,0.654365223,0.218801289,0.033232176,daf-16;daf-18,7,f
WBGene00001996,hpl-2,K01G5.2,0.481718532,0.189807897,0.092238087,daf-16;daf-18,7,f
WBGene00002012,hsp-12.3,F38E11.1,-2.336680255,0.398373569,3.78E-07,daf-16;daf-18,7,f
WBGene00002013,hsp-12.6,F38E11.2,-1.893249139,0.748077452,0.093219993,daf-16;daf-18,7,f
WBGene00002021,hsp-17,F52E1.7,0.992293126,0.221769766,2.47E-04,daf-16;daf-18,7,f
WBGene00002032,htp-1,F41H10.10,1.107211336,0.353244977,0.023405026,daf-16;daf-18,7,f
WBGene00002038,hum-5,T02C12.1,-0.625734614,0.140357235,2.63E-04,daf-16;daf-18,7,f
WBGene00002041,hum-8,Y66H1A.6,-0.590985185,0.147921195,0.001622142,daf-16;daf-18,7,f
WBGene00002047,icp-1,Y39G10AR.13,0.90063797,0.20808827,4.53E-04,daf-16;daf-18,7,f
WBGene00002055,ifc-1,F37B4.2,-0.567309852,0.218868443,0.082617691,daf-16;daf-18,7,f
WBGene00002059,ife-1,F53A2.6,0.401989351,0.12554093,0.019442366,daf-16;daf-18,7,f
WBGene00002061,ife-3,B0348.6,0.404649545,0.140566495,0.043830076,daf-16;daf-18,7,f
WBGene00002064,iff-1,T05G5.10,1.270902007,0.238653933,5.62E-06,daf-16;daf-18,7,f
WBGene00002070,ile-1,K07A1.8,0.437441143,0.170853504,0.087807405,daf-16;daf-18,7,f
WBGene00002073,ima-2,F26B1.3,0.99046912,0.178946709,2.04E-06,daf-16;daf-18,7,f
WBGene00002078,xpo-1,ZK742.1,-0.462818842,0.121339493,0.003005585,daf-16;daf-18,7,f
WBGene00002083,inf-1,F57B9.6,0.682175057,0.194129558,0.007953663,daf-16;daf-18,7,f
WBGene00002089,ins-6,ZK84.6,0.906256812,0.359695763,0.095295655,daf-16;daf-18,7,f
WBGene00002107,ins-24,ZC334.3,-0.862741556,0.308393764,0.052939674,daf-16;daf-18,7,f
WBGene00002108,ins-25,ZC334.8,-1.306971263,0.344108902,0.003188389,daf-16;daf-18,7,f
WBGene00002112,ins-29,ZC334.10,-0.954218775,0.334488388,0.046201422,daf-16;daf-18,7,f
WBGene00002113,ins-30,ZC334.2,-1.206098233,0.22270074,3.70E-06,daf-16;daf-18,7,f
WBGene00002118,ins-35,K02E2.4,-1.649255553,0.266484364,6.48E-08,daf-16;daf-18,7,f
WBGene00002133,inx-11,W04D2.3,-0.500703766,0.172128922,0.040903569,daf-16;daf-18,7,f
WBGene00002137,inx-15,R12E2.9,-0.458576993,0.150112875,0.028657946,daf-16;daf-18,7,f
WBGene00002138,inx-16,R12E2.5,-0.416997181,0.138564557,0.031803156,daf-16;daf-18,7,f
WBGene00002163,ist-1,C54D1.3,-0.890392965,0.155604006,7.95E-07,daf-16;daf-18,7,f
WBGene00002173,itr-1,F33D4.2,-0.817584809,0.116297363,3.38E-10,daf-16;daf-18,7,f
WBGene00002174,itx-1,W03D8.6,-0.59905536,0.176118766,0.011007723,daf-16;daf-18,7,f
WBGene00002180,jtr-1,Y77E11A.4,0.548282619,0.217060483,0.094096535,daf-16;daf-18,7,f
WBGene00002188,kgb-2,ZC416.4,-0.965308081,0.268678542,0.006213164,daf-16;daf-18,7,f
WBGene00002192,kin-4,C10C6.1,-0.399450964,0.149013062,0.068692989,daf-16;daf-18,7,f
WBGene00002200,kin-16,M176.7,-0.80792287,0.160218127,2.14E-05,daf-16;daf-18,7,f
WBGene00002228,klp-18,C06G3.2,0.756323097,0.228066534,0.014099858,daf-16;daf-18,7,f
WBGene00002229,klp-19,Y43F4B.6,0.764976404,0.196556913,0.002315713,daf-16;daf-18,7,f
WBGene00002234,kqt-2,M60.5,-0.790021171,0.209439103,0.003451623,daf-16;daf-18,7,f
WBGene00002238,kars-1,T02G5.9,0.701677419,0.14450642,4.93E-05,daf-16;daf-18,7,f
WBGene00002248,lam-3,T22A3.8,0.845708239,0.30523332,0.056188417,daf-16;daf-18,7,f
WBGene00002249,lap-1,ZK353.6,0.571137984,0.135241158,6.86E-04,daf-16;daf-18,7,f
WBGene00002253,lbp-1,F40F4.3,-0.821628999,0.182115168,2.11E-04,daf-16;daf-18,7,f
WBGene00002258,lbp-6,W02D3.5,-0.63385038,0.152720756,9.06E-04,daf-16;daf-18,7,f
WBGene00002262,ldh-1,F13D12.2,-0.47852484,0.14872314,0.018717636,daf-16;daf-18,7,f
WBGene00002263,lea-1,K08H10.1,-0.698192992,0.202469625,0.009610486,daf-16;daf-18,7,f
WBGene00002272,lec-9,C16H3.2,-0.742436461,0.279716907,0.072795882,daf-16;daf-18,7,f
WBGene00002274,lec-11,F38A5.3,0.573236548,0.199759913,0.044633052,daf-16;daf-18,7,f
WBGene00002297,ect-2,T19E10.1,0.661011858,0.2388056,0.056450927,daf-16;daf-18,7,f
WBGene00002393,lpr-1,Y65B4BR.2,1.762907777,0.649444219,0.063746364,daf-16;daf-18,7,f
WBGene00002497,let-268,F52H3.1,0.773665935,0.273651676,0.04929406,daf-16;daf-18,7,f
WBGene00002583,let-363,B0261.2,-0.354941331,0.125808763,0.049936677,daf-16;daf-18,7,f
WBGene00002827,let-653,C29E6.1,1.759871092,0.320861954,2.62E-06,daf-16;daf-18,7,f
WBGene00002891,let-767,C56G2.6,-0.572122684,0.22781594,0.096823474,daf-16;daf-18,7,f
WBGene00003015,lin-29,W03C9.4,0.93112222,0.269977151,0.009609299,daf-16;daf-18,7,f
WBGene00003036,lin-53,K07A1.12,0.543756787,0.16963729,0.019293636,daf-16;daf-18,7,f
WBGene00003055,lon-1,F48E8.1,1.540235943,0.383277881,0.001487818,daf-16;daf-18,7,f
WBGene00003057,lon-3,ZK836.1,3.048734667,1.096587182,0.055103772,daf-16;daf-18,7,f
WBGene00003060,lpd-3,Y47G6A.23,-0.485106698,0.140782478,0.009680386,daf-16;daf-18,7,f
WBGene00003071,lrp-1,F29D11.1,-0.410158052,0.150234998,0.061581064,daf-16;daf-18,7,f
WBGene00003082,lsm-8,Y73B6BL.32,0.7735883,0.1894501,0.001171447,daf-16;daf-18,7,f
WBGene00003094,lys-5,F58B3.2,0.902881017,0.344713729,0.078137898,daf-16;daf-18,7,f
WBGene00003123,mag-1,R09B3.5,0.415523969,0.140408593,0.035968014,daf-16;daf-18,7,f
WBGene00003124,mai-1,K10B3.9,-1.051186933,0.248441609,6.67E-04,daf-16;daf-18,7,f
WBGene00003153,mca-3,Y67D8C.10,-0.344335134,0.136848551,0.095932078,daf-16;daf-18,7,f
WBGene00003154,mcm-2,Y17G7B.5,0.512019612,0.200102208,0.088105206,daf-16;daf-18,7,f
WBGene00003155,mcm-3,C25D7.6,0.578001216,0.155337791,0.004069601,daf-16;daf-18,7,f
WBGene00003156,mcm-4,Y39G10AR.14,0.770001215,0.152636812,2.13E-05,daf-16;daf-18,7,f
WBGene00003157,mcm-5,R10E4.4,0.580440978,0.18961975,0.02826251,daf-16;daf-18,7,f
WBGene00003159,mcm-7,F32D1.10,1.001013504,0.206347666,5.03E-05,daf-16;daf-18,7,f
WBGene00003161,mdf-2,Y69A2AR.30,0.643779846,0.254821634,0.094029195,daf-16;daf-18,7,f
WBGene00003165,mec-1,T07H8.4,-0.474656437,0.153189987,0.025547091,daf-16;daf-18,7,f
WBGene00003171,mec-7,ZK154.3,-0.375488968,0.146287227,0.086793405,daf-16;daf-18,7,f
WBGene00003214,mel-32,C05D11.11,-0.395726608,0.130504156,0.030070411,daf-16;daf-18,7,f
WBGene00003222,mes-4,Y2H9A.1,0.636011607,0.199343602,0.020037218,daf-16;daf-18,7,f
WBGene00003233,mgl-2,F45H11.4,-0.454317958,0.126418121,0.006198148,daf-16;daf-18,7,f
WBGene00003235,mif-2,C52E4.2,-0.431049612,0.165773747,0.081054627,daf-16;daf-18,7,f
WBGene00003249,mig-18,F11F1.6,1.045120211,0.27961193,0.00383991,daf-16;daf-18,7,f
WBGene00003402,mpk-2,C04G6.1,0.425471497,0.149325267,0.04664061,daf-16;daf-18,7,f
WBGene00003405,mre-11,ZC302.1,0.710850586,0.225587183,0.022422997,daf-16;daf-18,7,f
WBGene00003409,mrp-3,E03G2.2,-1.078786224,0.212332463,1.81E-05,daf-16;daf-18,7,f
WBGene00003418,msh-2,H26D21.2,0.596883297,0.230342182,0.082741948,daf-16;daf-18,7,f
WBGene00003473,mtl-1,K11G9.6,-3.203481584,0.316929469,3.68E-21,daf-16;daf-18,7,f
WBGene00003474,mtl-2,T08G5.10,1.280771642,0.238555903,4.61E-06,daf-16;daf-18,7,f
WBGene00003519,nac-3,K08E5.2,0.388289025,0.150859008,0.085492782,daf-16;daf-18,7,f
WBGene00003524,nas-5,T23H4.3,-0.769912962,0.290819533,0.07391552,daf-16;daf-18,7,f
WBGene00003525,nas-6,4R79.1,1.233997577,0.285557882,4.63E-04,daf-16;daf-18,7,f
WBGene00003528,nas-9,C37H5.9,-1.170210431,0.16591103,2.97E-10,daf-16;daf-18,7,f
WBGene00003553,nas-37,C17G1.6,2.183965406,0.667461855,0.016020311,daf-16;daf-18,7,f
WBGene00003558,nca-2,C27F2.2,-0.466686257,0.134348077,0.008916,daf-16;daf-18,7,f
WBGene00003559,ncl-1,ZK112.2,-0.376420359,0.117700587,0.019632468,daf-16;daf-18,7,f
WBGene00003561,ncr-1,F02E8.6,-0.419644275,0.156202373,0.067771595,daf-16;daf-18,7,f
WBGene00003566,ncx-1,Y113G7A.4,-0.593203692,0.164900179,0.006135546,daf-16;daf-18,7,f
WBGene00003571,ncx-6,C07A9.4,0.913361548,0.221659683,0.001015907,daf-16;daf-18,7,f
WBGene00003573,ncx-8,C13D9.7,0.792250823,0.239237269,0.014291389,daf-16;daf-18,7,f
WBGene00003579,ndx-2,W02G9.1,0.683510122,0.241617929,0.049140832,daf-16;daf-18,7,f
WBGene00003597,nhl-1,F54G8.4,0.448798627,0.130643843,0.010016391,daf-16;daf-18,7,f
WBGene00003604,nhr-5,Y73F8A.21,-0.423893977,0.139263717,0.029370078,daf-16;daf-18,7,f
WBGene00003610,nhr-11,ZC410.1,-0.789196664,0.1804482,3.74E-04,daf-16;daf-18,7,f
WBGene00003622,nhr-23,C01H6.5,0.961179086,0.310824564,0.025939003,daf-16;daf-18,7,f
WBGene00003647,nhr-57,T05B4.2,-0.555588996,0.196599723,0.049341283,daf-16;daf-18,7,f
WBGene00003652,nhr-62,Y67A6A.2,-0.620410617,0.182795112,0.011229642,daf-16;daf-18,7,f
WBGene00003658,nhr-68,H12C20.3,-1.356380771,0.25628105,6.59E-06,daf-16;daf-18,7,f
WBGene00003681,nhr-91,Y15E3A.1,0.561082979,0.206198028,0.062737701,daf-16;daf-18,7,f
WBGene00003688,nhr-98,M02H5.6,-0.631000031,0.208197174,0.0301953,daf-16;daf-18,7,f
WBGene00003714,nhr-124,C17E7.8,-0.737778076,0.294316346,0.097598658,daf-16;daf-18,7,f
WBGene00003715,nhr-125,R02D1.1,-0.672854243,0.186385841,0.005869744,daf-16;daf-18,7,f
WBGene00003723,nhr-133,F44C8.8,-0.860429189,0.187992693,1.63E-04,daf-16;daf-18,7,f
WBGene00003734,nhx-6,F58E1.6,2.691061729,0.314440369,3.52E-15,daf-16;daf-18,7,f
WBGene00003738,nid-1,F54F3.1,-0.395999582,0.154536281,0.087412241,daf-16;daf-18,7,f
WBGene00003741,nlp-3,F48C11.3,0.486845273,0.169882552,0.044943003,daf-16;daf-18,7,f
WBGene00003747,nlp-9,E03D2.2,0.520761085,0.184272669,0.049341283,daf-16;daf-18,7,f
WBGene00003750,nlp-12,M01D7.5,0.605382485,0.231551806,0.078896272,daf-16;daf-18,7,f
WBGene00003763,nlp-25,Y43F8C.1,1.190346187,0.335060509,0.007094232,daf-16;daf-18,7,f
WBGene00003764,nlp-26,Y43F8C.2,-1.003804841,0.295315109,0.011064204,daf-16;daf-18,7,f
WBGene00003766,nlp-28,B0213.3,-0.870991422,0.190310032,1.63E-04,daf-16;daf-18,7,f
WBGene00003770,nlp-32,F30H5.2,-2.393063218,0.697696005,0.010155781,daf-16;daf-18,7,f
WBGene00003778,nnt-1,C15H9.1,-2.317741693,0.169917763,1.11E-38,daf-16;daf-18,7,f
WBGene00003786,npa-1,VC5.3,-1.272410953,0.20855804,1.05E-07,daf-16;daf-18,7,f
WBGene00003795,npp-9,F59A2.1,0.453927147,0.139566623,0.016923413,daf-16;daf-18,7,f
WBGene00003815,nars-1,F22D6.3,0.403114682,0.133169234,0.030462397,daf-16;daf-18,7,f
WBGene00003829,nud-1,F53A2.4,0.514162108,0.176950477,0.041226533,daf-16;daf-18,7,f
WBGene00003837,oat-1,T01B11.7,0.955562119,0.252656313,0.003350711,daf-16;daf-18,7,f
WBGene00003891,osm-11,F11C7.5,0.992034597,0.14100681,3.31E-10,daf-16;daf-18,7,f
WBGene00003917,par-2,F58B6.3,0.591572363,0.2022734,0.039414036,daf-16;daf-18,7,f
WBGene00003922,pas-1,C15H11.7,0.482586399,0.160763346,0.032331935,daf-16;daf-18,7,f
WBGene00003948,pbs-2,C47B2.4,0.42306092,0.159137517,0.072030873,daf-16;daf-18,7,f
WBGene00003955,pcn-1,W03D2.4,0.828559758,0.158827476,9.49E-06,daf-16;daf-18,7,f
WBGene00003957,pcp-2,F23B2.12,0.83912312,0.209899568,0.001611374,daf-16;daf-18,7,f
WBGene00003965,pdk-1,H42K12.1,-1.391538775,0.20876217,3.59E-09,daf-16;daf-18,7,f
WBGene00003968,peb-1,T14F9.4,1.058564143,0.209562882,2.06E-05,daf-16;daf-18,7,f
WBGene00003969,pef-1,F23H11.8,-0.396525016,0.136959506,0.042165318,daf-16;daf-18,7,f
WBGene00003989,pfn-1,Y18D10A.20,0.577395014,0.154898853,0.003981011,daf-16;daf-18,7,f
WBGene00003992,pgl-1,ZK381.4,0.841512814,0.186831167,2.17E-04,daf-16;daf-18,7,f
WBGene00003994,pgl-3,C18G1.4,0.955718191,0.286603032,0.013414607,daf-16;daf-18,7,f
WBGene00003999,pgp-5,C05A9.1,0.655897748,0.2023691,0.017483927,daf-16;daf-18,7,f
